File Name,admin_2024-01-04 11-43-31_BR007856  24-01-04 SnIV1-2696-2697 plate 3.pcrd,,,,,,,,,,,,,,,,,
Created By User,admin,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Run Started,01/04/2024 10:44:20 UTC,,,,,,,,,,,,,,,,,
Run Ended,01/04/2024 12:17:20 UTC,,,,,,,,,,,,,,,,,
Sample Vol,10,,,,,,,,,,,,,,,,,
Lid Temp,105,,,,,,,,,,,,,,,,,
Protocol File Name,23-03-02 58-20-40 -- PROTOCOL.prcl,,,,,,,,,,,,,,,,,
Plate Setup File Name,24-01-04 SnIV1-2696-2697 plate 3.pltd,,,,,,,,,,,,,,,,,
Base Serial Number,BR007856,,,,,,,,,,,,,,,,,
Optical Head Serial Number,788BR07489,,,,,,,,,,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well group,All Wells,,,,,,,,,,,,,,,,,
Amplification step,4,,,,,,,,,,,,,,,,,
Melt step,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Fluor,Target,Content,Replicate,Sample,Biological Set Name,Well Note,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Call,End RFU
A01,SYBR,SnIV1-2696:2697,Unkn,,2287,,,39.3791926945692,NaN,39.3791926945692,0,0,85,84.9528544818041,77,91,,149.017251576451
A02,SYBR,SnIV1-2696:2697,Unkn,,2297,,,38.6077980700984,NaN,38.6077980700984,0,0,85,124.117022516853,80,93,,225.484162842804
A03,SYBR,SnIV1-2696:2697,Unkn,,2307,,,35.3066209159974,NaN,35.3066209159974,0,0,85,227.30121505842,76.5,91.5,(+) Positive,630.750961026188
A04,SYBR,SnIV1-2696:2697,Unkn,,2375,,,32.4190246481286,NaN,32.4190246481286,0,0,84.5,256.374524698973,76.5,88,(+) Positive,877.555217764589
A05,SYBR,SnIV1-2696:2697,Unkn,,2383,,,33.0055423597282,NaN,33.0055423597282,0,0,84.5,227.889212921587,67.5,91.5,(+) Positive,817.126346539699
A06,SYBR,SnIV1-2696:2697,Unkn,,2391,,,40.9711640230175,NaN,40.9711640230175,0,0,None,None,None,None,,60.1266025784752
A07,SYBR,SnIV1-2696:2697,Unkn,,2399,,,36.2458748090255,NaN,36.2458748090255,0,0,85,216.815028647092,76.5,90,(+) Positive,517.408782463683
A08,SYBR,SnIV1-2696:2697,Unkn,,2407,,,35.7681866553374,NaN,35.7681866553374,0,0,85,241.557070769498,76.5,91.5,(+) Positive,570.550031214686
A09,SYBR,SnIV1-2696:2697,Unkn,,2415,,,37.3221620175719,NaN,37.3221620175719,0,0,85,173.613991216825,82,88.5,,377.898288084659
A10,SYBR,SnIV1-2696:2697,Pos Ctrl,,1961,,,34.1163283628498,NaN,34.1163283628498,0,0,84.5,306.841003050611,76.5,91.5,(+) Positive,864.845961358684
B01,SYBR,SnIV1-2696:2697,Unkn,,2288,,,31.0313673959749,NaN,31.0313673959749,0,0,84.5,369.425108169499,67.5,91,(+) Positive,1188.31393651417
B02,SYBR,SnIV1-2696:2697,Unkn,,2298,,,32.8069565199501,NaN,32.8069565199501,0,0,85,294.65084703802,76.5,88.5,(+) Positive,964.751243134595
B03,SYBR,SnIV1-2696:2697,Unkn,,2308,,,32.251977066486,NaN,32.251977066486,0,0,85,340.693173049346,67.5,88.5,(+) Positive,987.265485531212
B04,SYBR,SnIV1-2696:2697,Unkn,,2376,,,33.8149835527632,NaN,33.8149835527632,0,0,85,305.055378807152,67.5,91,(+) Positive,871.206397408273
B05,SYBR,SnIV1-2696:2697,Unkn,,2384,,,28.0250491492428,NaN,28.0250491492428,0,0,85,361.523691983081,67.5,92,(+) Positive,1092.24565937947
B06,SYBR,SnIV1-2696:2697,Unkn,,2392,,,32.8555549778856,NaN,32.8555549778856,0,0,85,282.610975953592,75.5,88.5,(+) Positive,915.921121650977
B07,SYBR,SnIV1-2696:2697,Unkn,,2400,,,36.9045336221799,NaN,36.9045336221799,0,0,85,242.187362079019,70.5,95,(+) Positive,474.739259697014
B08,SYBR,SnIV1-2696:2697,Unkn,,2408,,,31.6625054166267,NaN,31.6625054166267,0,0,85,355.386155420299,67.5,88,(+) Positive,1024.66247845716
B09,SYBR,SnIV1-2696:2697,Unkn,,2416,,,36.8541404732244,NaN,36.8541404732244,0,0,85,223.409493117002,81.5,89.5,,453.0738761544
B10,SYBR,SnIV1-2696:2697,Neg Ctrl,,1383,,,37.5544869219928,NaN,37.5544869219928,0,0,84.5,92.8707667919477,71.5,88,,336.804938621876
C01,SYBR,SnIV1-2696:2697,Unkn,,2289,,,33.0269052860727,NaN,33.0269052860727,0,0,84.5,313.461497325148,67.5,91.5,(+) Positive,743.639416628745
C02,SYBR,SnIV1-2696:2697,Unkn,,2299,,,31.9466323049243,NaN,31.9466323049243,0,0,85,420.382020541427,81,90,(+) Positive,1237.02729952062
C03,SYBR,SnIV1-2696:2697,Unkn,,2309,,,33.1120342604598,NaN,33.1120342604598,0,0,85,361.612000995956,80.5,93,(+) Positive,997.692294804609
C04,SYBR,SnIV1-2696:2697,Unkn,,2377,,,31.1159270019387,NaN,31.1159270019387,0,0,85,339.94566441326,80,88.5,(+) Positive,1133.33189632149
C05,SYBR,SnIV1-2696:2697,Unkn,,2385,,,31.5655427029703,NaN,31.5655427029703,0,0,85,428.870202183961,81,92.5,(+) Positive,1206.65785852134
C06,SYBR,SnIV1-2696:2697,Unkn,,2393,,,35.1054110012891,NaN,35.1054110012891,0,0,85,312.507997957562,67.5,93,(+) Positive,753.868338067703
C07,SYBR,SnIV1-2696:2697,Unkn,,2401,,,34.0874014670348,NaN,34.0874014670348,0,0,85,341.132041368359,80.5,91.5,(+) Positive,900.504403811219
C08,SYBR,SnIV1-2696:2697,Unkn,,2409,,,33.1552889676652,NaN,33.1552889676652,0,0,85,355.504597169795,72.5,90.5,(+) Positive,1011.48046576824
C09,SYBR,SnIV1-2696:2697,Unkn,,2417,,,36.1346874716394,NaN,36.1346874716394,0,0,84.5,274.581517489423,67.5,90,(+) Positive,587.73376548144
C10,SYBR,SnIV1-2696:2697,NTC,,,,,39.3480669520572,NaN,39.3480669520572,0,0,75.5,101.825362791681,70.5,80.5,,139.041786443241
D01,SYBR,SnIV1-2696:2697,Unkn,,2290,,,28.8839987337799,NaN,28.8839987337799,0,0,85,311.138613470285,67.5,92,(+) Positive,878.124485666098
D02,SYBR,SnIV1-2696:2697,Unkn,,2300,,,35.3518129113927,NaN,35.3518129113927,0,0,84.5,198.71856799661,68,92.5,(+) Positive,591.235773699227
D03,SYBR,SnIV1-2696:2697,Unkn,,2310,,,35.0582546166231,NaN,35.0582546166231,0,0,84.5,275.576250310048,79.5,92,(+) Positive,686.830311014158
D04,SYBR,SnIV1-2696:2697,Unkn,,2378,,,32.1143970137753,NaN,32.1143970137753,0,0,85,328.813306627161,80.5,88.5,(+) Positive,1017.55987863834
D05,SYBR,SnIV1-2696:2697,Unkn,,2386,,,32.9987428533059,NaN,32.9987428533059,0,0,85,270.325206015685,79.5,92,(+) Positive,903.515899129246
D06,SYBR,SnIV1-2696:2697,Unkn,,2394,,,31.4119970529277,NaN,31.4119970529277,0,0,84.5,334.559601736969,67.5,91.5,(+) Positive,1028.40557388161
D07,SYBR,SnIV1-2696:2697,Unkn,,2402,,,33.6636308094696,NaN,33.6636308094696,0,0,84.5,340.691122068737,67.5,89.5,(+) Positive,922.45069621466
D08,SYBR,SnIV1-2696:2697,Unkn,,2410,,,33.7723614864625,NaN,33.7723614864625,0,0,85,346.502477867666,80.5,91,(+) Positive,922.20393829885
D09,SYBR,SnIV1-2696:2697,Unkn,,2418,,,35.6011464247535,NaN,35.6011464247535,0,0,85,259.058557645847,67.5,89,(+) Positive,654.770780794239
D10,SYBR,SnIV1-2696:2697,NTC,,,,,NaN,NaN,0,0,0,None,None,None,None,,-1.40240055572649
E01,SYBR,SnIV1-2696:2697,Unkn,,2291,,,27.6740333821474,NaN,27.6740333821474,0,0,85,388.465293793226,75.5,95,(+) Positive,965.450025085999
E02,SYBR,SnIV1-2696:2697,Unkn,,2301,,,37.510701504625,NaN,37.510701504625,0,0,84.5,150.318230786238,75,91,,384.675158673853
E03,SYBR,SnIV1-2696:2697,Unkn,,2311,,,32.4778102163795,NaN,32.4778102163795,0,0,85,357.876800357798,75.5,91,(+) Positive,1167.99614169749
E04,SYBR,SnIV1-2696:2697,Unkn,,2379,,,35.1955523610577,NaN,35.1955523610577,0,0,85,335.599646715314,81,88.5,(+) Positive,820.087010609978
E05,SYBR,SnIV1-2696:2697,Unkn,,2387,,,38.9390584123366,NaN,38.9390584123366,0,0,84.5,78.2107049887928,82.5,92,,206.751388652887
E06,SYBR,SnIV1-2696:2697,Unkn,,2395,,,28.7224044045244,NaN,28.7224044045244,0,0,85,544.857069229755,81,93.5,(+) Positive,1649.47702424783
E07,SYBR,SnIV1-2696:2697,Unkn,,2403,,,30.1220340533809,NaN,30.1220340533809,0,0,85,400.786535300878,67.5,88.5,(+) Positive,1411.44176095438
E08,SYBR,SnIV1-2696:2697,Unkn,,2411,,,34.5888872860142,NaN,34.5888872860142,0,0,85,320.602305206856,80.5,95,(+) Positive,950.958038793835
E09,SYBR,SnIV1-2696:2697,Unkn,,2419,,,37.0105172534528,NaN,37.0105172534528,0,0,85,211.559503258028,67.5,92,(+) Positive,468.768342952382
E10,SYBR,SnIV1-2696:2697,NTC,,,,,NaN,NaN,0,0,0,None,None,None,None,,-0.126189018794321
F01,SYBR,SnIV1-2696:2697,Unkn,,2292,,,31.1992710620311,NaN,31.1992710620311,0,0,85,299.537745024434,80,93,(+) Positive,869.488083087037
F02,SYBR,SnIV1-2696:2697,Unkn,,2302,,,36.6168483050705,NaN,36.6168483050705,0,0,85,215.006931921865,81.5,91,,465.639737586407
F03,SYBR,SnIV1-2696:2697,Unkn,,2372,,,31.1319725999985,NaN,31.1319725999985,0,0,85,347.060387923592,80.5,90,(+) Positive,1145.70364772784
F04,SYBR,SnIV1-2696:2697,Unkn,,2380,,,32.4145017548143,NaN,32.4145017548143,0,0,85,276.1708262632,67.5,92.5,(+) Positive,940.65141178428
F05,SYBR,SnIV1-2696:2697,Unkn,,2388,,,32.1804856726535,NaN,32.1804856726535,0,0,84.5,317.923591181162,67.5,88,(+) Positive,1070.80442451462
F06,SYBR,SnIV1-2696:2697,Unkn,,2396,,,32.2571794612278,NaN,32.2571794612278,0,0,84.5,366.079359648833,75,93,(+) Positive,1048.19757521694
F07,SYBR,SnIV1-2696:2697,Unkn,,2404,,,38.5989302141503,NaN,38.5989302141503,0,0,75.5,103.127977218515,67.5,79,,192.756349163871
F08,SYBR,SnIV1-2696:2697,Unkn,,2412,,,32.2019127525978,NaN,32.2019127525978,0,0,84.5,262.444433371707,67.5,88,(+) Positive,846.753811587885
F09,SYBR,SnIV1-2696:2697,Unkn,,2420,,,32.0256265243058,NaN,32.0256265243058,0,0,85,415.299626859224,80,91,(+) Positive,1289.96975104808
F10,SYBR,SnIV1-2696:2697,NTC,,,,,NaN,NaN,0,0,0,None,None,None,None,,0.847813776472685
G01,SYBR,SnIV1-2696:2697,Unkn,,2293,,,31.6419242363324,NaN,31.6419242363324,0,0,84.5,259.96141111409,67.5,92.5,(+) Positive,748.027978770742
G02,SYBR,SnIV1-2696:2697,Unkn,,2305,,,34.4074507939397,NaN,34.4074507939397,0,0,85,237.076702257969,75,90,(+) Positive,667.955979439127
G03,SYBR,SnIV1-2696:2697,Unkn,,2373,,,30.5463776548838,NaN,30.5463776548838,0,0,85.5,259.926977040373,80.5,91.5,(+) Positive,833.16319207217
G04,SYBR,SnIV1-2696:2697,Unkn,,2381,,,32.1277561573587,NaN,32.1277561573587,0,0,85,312.13116021352,81,91,(+) Positive,918.13276847578
G05,SYBR,SnIV1-2696:2697,Unkn,,2389,,,33.5629632829452,NaN,33.5629632829452,0,0,85,302.717231197974,81,88,(+) Positive,838.597251970272
G06,SYBR,SnIV1-2696:2697,Unkn,,2397,,,30.7829165281042,NaN,30.7829165281042,0,0,84.5,333.878038097974,67.5,93,(+) Positive,977.670926704947
G07,SYBR,SnIV1-2696:2697,Unkn,,2405,,,35.4834558141651,NaN,35.4834558141651,0,0,85,297.000008090198,81.5,88,(+) Positive,710.657270451752
G08,SYBR,SnIV1-2696:2697,Unkn,,2413,,,37.4087279766706,NaN,37.4087279766706,0,0,85,159.948134207906,82,89.5,,363.087136365848
G09,SYBR,SnIV1-2696:2697,Unkn,,2421,,,35.8931244069534,NaN,35.8931244069534,0,0,85,214.801172502086,81.5,91.5,(+) Positive,502.71441258054
G10,SYBR,SnIV1-2696:2697,NTC,,,,,NaN,NaN,0,0,0,None,None,None,None,,-0.389305124427028
H01,SYBR,SnIV1-2696:2697,Unkn,,2296,,,35.0261659214848,NaN,35.0261659214848,0,0,84.5,184.96782685526,77.5,91,(+) Positive,526.954973839683
H02,SYBR,SnIV1-2696:2697,Unkn,,2306,,,35.2852953251267,NaN,35.2852953251267,0,0,85,202.209734758638,80,92,(+) Positive,546.068312537237
H03,SYBR,SnIV1-2696:2697,Unkn,,2374,,,32.298164684284,NaN,32.298164684284,0,0,85.5,262.631227410558,81.5,89,(+) Positive,883.705874385962
H04,SYBR,SnIV1-2696:2697,Unkn,,2382,,,35.2022597180706,NaN,35.2022597180706,0,0,85,156.959450694461,80.5,90,(+) Positive,474.240298332152
H05,SYBR,SnIV1-2696:2697,Unkn,,2390,,,34.7078572880247,NaN,34.7078572880247,0,0,84.5,234.837198313278,67.5,88,(+) Positive,673.045275146115
H06,SYBR,SnIV1-2696:2697,Unkn,,2398,,,31.8168142078403,NaN,31.8168142078403,0,0,84.5,227.768863573031,80,91,(+) Positive,653.36173975627
H07,SYBR,SnIV1-2696:2697,Unkn,,2406,,,33.4062259765218,NaN,33.4062259765218,0,0,84.5,200.564659779872,80.5,87.5,(+) Positive,564.337884088787
H08,SYBR,SnIV1-2696:2697,Unkn,,2414,,,32.3561728726427,NaN,32.3561728726427,0,0,85,247.946568959556,80.5,88,(+) Positive,768.876322118126
H09,SYBR,SnIV1-2696:2697,Unkn,,2422,,,34.2326395496468,NaN,34.2326395496468,0,0,84.5,239.627896334706,80.5,88,(+) Positive,653.396273633857
H10,SYBR,SnIV1-2696:2697,NTC,,,,,NaN,NaN,0,0,0,None,None,None,None,,-2.12507048069301
